nama_penyakit,total_tagihan,total_klaim,total_margin
Deformity of orbit,313390,245600,67790
"Residual foreign body in soft tissue, multiple sites",275000,196100,78900
Other chorioretinal disorders in diseases classified elsewhere,329680,245600,84080
Intraductal carcinoma in situ of breast,285000,196100,88900
"Cervical disc disorder, unspecified",672610,578700,93910
"Follicular non-hodgkin's lymphoma, unspecified",301286,196100,105186
"Internal derangement of knee, unspecified",303663,196100,107563
Stuttering [stammering],110000,0,110000
Contusion of toe(s) with damage to nail,315808,196100,119708
Fracture of symphysis of body,326371,196100,130271
Other interstitial pulmonary diseases with fibrosis,328784,196100,132684
Thoracic spina bifida with hydrocephalus,329000,196100,132900
Central retinal artery occlusion,330151,196100,134051
Hypertrophy of (infrapatellar) fat pad,330720,196100,134620
Foreign body in respiratory tract,334076,198700,135376
"Malunion of fracture, pelvic region and thigh",348920,196100,152820
Fused toes,349602,196100,153502
TRICHINELLOSIS,355003,196100,158903
Symptoms and signs involving emotional state,5669299,5484100,185199
"Muscle strain, pelvic region and thigh",391952,198700,193252
Dermatitis due to unspecified substance taken internally,4885293,4669800,215493
"Syndactyly, unspecified",415000,196100,218900
Other and unspecified abnormalities of heart beat,498125,272600,225525
Olecranon bursitis,449852,196100,253752
Other disorders of lacrimal system,475879,196100,279779
"Contact with venomous snakes and lizards, Home",4338604,4008400,330204
Urethral abscess,7224470,6894200,330270
Incomplete and partial hydatidiform mole,2923290,2574600,348690
Fetus and newborn affected by surgical procedure on mother,5623453,5238800,384653
Necrotizing fasciitis,5051286,4621000,430286
"Tuberculosis of spine, lumbar region (A18.0+)",628744,196100,432644
Organic anxiety disorder,2530480,2097400,433080
Toxic effect of contact with venomous animals,2674950,2234600,440350
Other specified orthopaedic follow-up care,861173,382000,479173
"Benign neoplasm of pharynx, unspecified",3248616,2738300,510316
Other depressive episodes,2426406,1914500,511906
Compression of brain,3104530,2580000,524530
Labour and delivery complicated by fetal stress [distress],6628224,6103200,525024
"Cardiovascular disease, unspecified",2957393,2426400,530993
Type 2 diabetes mellitus with multiple microvascular complications,5153748,4621000,532748
Prolapsed urethral mucosa,6677432,6103200,574232
"Manic episode, unspecified",788628,196100,592528
"Other congenital anaemias, not elsewhere classified",4228573,3606600,621973
Erythema multiforme,2387091,1756100,630991
